checkpoint_id,replication,rollout_batch,minibatch,selection_bin,formula_split,population_sequence_ess,blocks_per_estimator,sequences_per_estimator,calibration_blocks,raw_variance_trace,ppo_variance_trace,ppo_bias_squared,ppo_bias_squared_naive,empirical_raw_bias_squared,raw_formula_mse,ppo_formula_mse,raw_minus_ppo_formula_mse,ppo_formula_reduction_pct,formula_prefers_ppo
7.0,10.0,3.0,12.0,1.0,fit,0.00015219022393304384,4.0,512.0,100.0,5.0561792908846375,5.057566922009108,0.0,0.04559558972020293,0.051287002324707974,1.2640448227211594,1.264391730502277,-0.0003469077811175669,-0.0274442626465385,0.0
7.0,10.0,3.0,12.0,1.0,fit,0.00015219022393304384,8.0,1024.0,100.0,5.0561792908846375,5.057566922009108,0.0,0.04559558972020293,0.051287002324707974,0.6320224113605797,0.6321958652511385,-0.00017345389055878346,-0.0274442626465385,0.0
8.0,16.0,8.0,15.0,1.0,fit,0.028403767221111122,1.0,128.0,100.0,0.2066439828984702,0.20355779486285858,0.0011923598278233936,0.0032279377764519793,0.00207444202522727,0.2066439828984702,0.20475015469068197,0.0018938282077882174,0.9164690794402209,1.0
8.0,16.0,8.0,15.0,1.0,fit,0.028403767221111122,2.0,256.0,100.0,0.2066439828984702,0.20355779486285858,0.0011923598278233936,0.0032279377764519793,0.00207444202522727,0.1033219914492351,0.10297125725925269,0.00035073418998241013,0.3394574427601266,1.0
8.0,16.0,8.0,15.0,1.0,fit,0.028403767221111122,4.0,512.0,100.0,0.2066439828984702,0.20355779486285858,0.0011923598278233936,0.0032279377764519793,0.00207444202522727,0.05166099572461755,0.05208180854353804,-0.0004208128189204935,-0.814565830600062,0.0
8.0,16.0,8.0,15.0,1.0,fit,0.028403767221111122,8.0,1024.0,100.0,0.2066439828984702,0.20355779486285858,0.0011923598278233936,0.0032279377764519793,0.00207444202522727,0.025830497862308774,0.026637084185680716,-0.0008065863233719418,-3.122612377320426,0.0
9.0,3.0,4.0,13.0,2.0,test,0.05967202096628819,1.0,128.0,100.0,0.046574410419037184,0.007172394067939222,0.0018229900385729912,0.0018947139792523833,0.0007187861706591937,0.046574410419037184,0.008995384106512214,0.037579026312524966,80.68599467909662,1.0
9.0,3.0,4.0,13.0,2.0,test,0.05967202096628819,2.0,256.0,100.0,0.046574410419037184,0.007172394067939222,0.0018229900385729912,0.0018947139792523833,0.0007187861706591937,0.023287205209518592,0.005409187072542602,0.01787801813697599,76.77184950329887,1.0
9.0,3.0,4.0,13.0,2.0,test,0.05967202096628819,4.0,512.0,100.0,0.046574410419037184,0.007172394067939222,0.0018229900385729912,0.0018947139792523833,0.0007187861706591937,0.011643602604759296,0.0036160885555577968,0.0080275140492015,68.94355915170337,1.0
9.0,3.0,4.0,13.0,2.0,test,0.05967202096628819,8.0,1024.0,100.0,0.046574410419037184,0.007172394067939222,0.0018229900385729912,0.0018947139792523833,0.0007187861706591937,0.005821801302379648,0.002719539297065394,0.003102262005314254,53.28697844851234,1.0
