checkpoint_id,selection_bin,blocks_per_estimator,sequences_per_estimator,population_sequence_ess,method,selected_ppo,agrees_with_formula_oracle,heldout_gradient_mse,evaluation_draws
18.0,3.0,8.0,1024.0,0.11008615748349813,PPO masked,1.0,0.0,0.01374809028471871,100.0
18.0,3.0,8.0,1024.0,0.11008615748349813,Formula oracle,0.0,1.0,0.014388937750989636,100.0
18.0,3.0,8.0,1024.0,0.11008615748349813,Fitted ESS,0.0,1.0,0.014388937750989636,100.0
18.0,3.0,8.0,1024.0,0.11008615748349813,Effective-count transfer,1.0,0.0,0.01374809028471871,100.0
18.0,3.0,8.0,1024.0,0.11008615748349813,Fixed ESS 0.1,0.0,1.0,0.014388937750989636,100.0
20.0,3.0,1.0,128.0,0.17416232103516502,Raw,0.0,0.0,0.05494584023631424,100.0
20.0,3.0,1.0,128.0,0.17416232103516502,PPO masked,1.0,1.0,0.023587990001226668,100.0
20.0,3.0,1.0,128.0,0.17416232103516502,Formula oracle,1.0,1.0,0.023587990001226668,100.0
20.0,3.0,1.0,128.0,0.17416232103516502,Fitted ESS,1.0,1.0,0.023587990001226668,100.0
20.0,3.0,1.0,128.0,0.17416232103516502,Effective-count transfer,1.0,1.0,0.023587990001226668,100.0
